categorias,direccion,nombre,precio,score
Excellent,"834, reviews,326 West 37th Street, New York City, NY 10018,834, reviews,326 West 37th Street, New York City, NY 10018",Hilton Garden Inn New York Times Square South,,4.5
Excellent,"10,486, reviews,Carretera Federal 307 Cancun - Chetumal Km 254, Akumal 77760 Mexico,10,486, reviews,Carretera Federal 307 Cancun - Chetumal Km 254, Akumal 77760 Mexico,Name/address in local language",Akumal Bay Beach & Wellness Resort,,5.0
Very good,"3,421, reviews,1550 North Atlantic Ave, Cocoa Beach, FL 32931-3268,3,421, reviews,1550 North Atlantic Ave, Cocoa Beach, FL 32931-3268",Hilton Cocoa Beach Oceanfront,,4.0
Excellent,"82, reviews,Sfakaki, Crete 741 00 Greece,82, reviews,Sfakaki, Crete 741 00 Greece,Name/address in local language",Danaos Beach Hotel,,4.5
Excellent,"6,400, reviews,El-Salam, Nabq Bay, Sharm El Sheikh 99999 Egypt,6,400, reviews,El-Salam, Nabq Bay, Sharm El Sheikh 99999 Egypt,Name/address in local language",Parrotel Aqua Park Resort,,4.5
Excellent,"154, reviews,201 E Kiowa St, Colorado Springs, CO 80903-1706,154, reviews,201 E Kiowa St, Colorado Springs, CO 80903-1706",Hyatt Place Colorado Springs Downtown,,4.5
Very good,"11, reviews,949 Tulip Lane, Big Bear Lake, CA 92315,11, reviews,949 Tulip Lane, Big Bear Lake, CA 92315",Oak Knoll Lodge,,3.5
Very good,"2,092, reviews,Bravo Club Kiwengwa, Kiwengwa 2703 Tanzania,2,092, reviews,Bravo Club Kiwengwa, Kiwengwa 2703 Tanzania",VOI Kiwengwa Resort,,4.0
Excellent,"3,969, reviews,433 Chestnut Street, Philadelphia, PA 19106-2426,3,969, reviews,433 Chestnut Street, Philadelphia, PA 19106-2426",Kimpton Hotel Monaco Philadelphia,,4.5
Excellent,"4,927, reviews,40/5 Surawong Road Bangrak, Bangkok 10500 Thailand,4,927, reviews,40/5 Surawong Road Bangrak, Bangkok 10500 Thailand,Name/address in local language",Le Méridien Bangkok,,4.5
Excellent,"3,265, reviews,27-29 Red Lion Street Holborn, London WC1R 4PS England,3,265, reviews,27-29 Red Lion Street Holborn, London WC1R 4PS England",Premier Inn London Holborn hotel,,4.5
Excellent,"277, reviews,Plot No. C15, Sekenani, Maasai Mara National Reserve 13760 Kenya,277, reviews,Plot No. C15, Sekenani, Maasai Mara National Reserve 13760 Kenya",Prideinn Mara Camp & Cottages,,4.5
